is_internal	prereq	department	count	p	role	course	department	count	p	role	weight
internal	ECON51	ECON	1273.0	0.08058492118756726	0	ECON52	ECON	851.0	0.0538709881623093	0	0.4265514532600157	
internal	CS107	CS	3393.0	0.21478761790213333	0	CS110	CS	1927.0	0.12198518706083433	0	0.41998231653404067	
internal	ME101	ME	1336.0	0.08457302019370766	0	ME103D	ME	960.0	0.06077103247452048	0	0.4199101796407186	
external	BIO150	BIO	1197.0	0.07577388111666772	0	<END>	special	15797.0	1.0	0	0.4193817878028404	
internal	MATH42	MATH	1115.0	0.07058302209280243	0	MATH51	MATH	5086.0	0.3219598657973033	0	0.4179372197309417	
internal	CS109	CS	2672.0	0.16914604038741532	0	CS161	CS	1990.0	0.12597328606697475	0	0.4176646706586826	
external	MS&E193	MS&E	990.0	0.06267012723934924	0	<END>	special	15797.0	1.0	0	0.41414141414141414	
internal	ECON1A	ECON	1604.0	0.1015382667595113	0	ECON1B	ECON	893.0	0.05652972083306957	0	0.4089775561097257	
external	MS&E180	MS&E	1010.0	0.06393619041590175	0	<END>	special	15797.0	1.0	0	0.4079207920792079	
external	CS181W	CS	930.0	0.058871937709691714	0	<END>	special	15797.0	1.0	0	0.4032258064516129	
internal	CS110	CS	1927.0	0.12198518706083433	0	CS161	CS	1990.0	0.12597328606697475	0	0.40217955371043074	
external	CS145	CS	818.0	0.05178198392099766	0	<END>	special	15797.0	1.0	0	0.39975550122249387	
external	PSYCH70	PSYCH	1227.0	0.07767297588149649	0	<END>	special	15797.0	1.0	0	0.3895680521597392	
internal	ECON1B	ECON	893.0	0.05652972083306957	0	ECON50	ECON	1881.0	0.11907324175476357	0	0.387458006718925	
external	ME80	ME	935.0	0.05918845350382984	0	<END>	special	15797.0	1.0	0	0.3775401069518717	
internal	PHYSICS44	PHYSICS	890.0	0.056339811356586694	0	PHYSICS45	PHYSICS	1794.0	0.11356586693676014	0	0.3775280898876405	
external	CS221	CS	1062.0	0.06722795467493828	0	<END>	special	15797.0	1.0	0	0.3757062146892655	
internal	ECON102A	ECON	1589.0	0.10058871937709692	0	ECON51	ECON	1273.0	0.08058492118756726	0	0.3713027061044682	
external	PSYCH80	PSYCH	871.0	0.055137051338861806	0	<END>	special	15797.0	1.0	0	0.3685419058553387	
external	CS105	CS	1476.0	0.09343546242957523	0	<END>	special	15797.0	1.0	0	0.3678861788617886	
external	ENGR14	ENGR	1453.0	0.09197948977653984	0	ME80	ME	935.0	0.05918845350382984	0	0.3661390227116311	
external	BIO41	BIO	1388.0	0.08786478445274419	0	CHEM131	CHEM	1442.0	0.09128315502943597	0	0.36023054755043227	
internal	CS106B	CS	5006.0	0.31689561309109326	0	CS103	CS	3319.0	0.21010318414888904	0	0.36016779864163007	
internal	CS107	CS	3393.0	0.21478761790213333	0	CS103	CS	3319.0	0.21010318414888904	0	0.3542587680518715	
external	CHEM35	CHEM	2092.0	0.13243020826739255	0	BIO42	BIO	1196.0	0.0757105779578401	0	0.35181644359464626	
internal	ECON50	ECON	1881.0	0.11907324175476357	0	ECON102B	ECON	1039.0	0.06577198202190289	0	0.341839447102605	
internal	ME103D	ME	960.0	0.06077103247452048	0	ME80	ME	935.0	0.05918845350382984	0	0.340625	
external	PHYSICS23	PHYSICS	1204.0	0.0762170032284611	0	<END>	special	15797.0	1.0	0	0.3372093023255814	
external	CS161	CS	1990.0	0.12597328606697475	0	<END>	special	15797.0	1.0	0	0.3371859296482412	
internal	ECON50	ECON	1881.0	0.11907324175476357	0	ECON52	ECON	851.0	0.0538709881623093	0	0.3322700691121744	
internal	PHYSICS44	PHYSICS	890.0	0.056339811356586694	0	PHYSICS46	PHYSICS	813.0	0.05146546812685953	0	0.33146067415730335	
internal	CHEM31B	CHEM	2540.0	0.16079002342216878	0	CHEM35	CHEM	2092.0	0.13243020826739255	0	0.3295275590551181	
external	CHEM31X	CHEM	1251.0	0.0791922516933595	0	CS106A	CS	7270.0	0.4602139646768374	0	0.32773780975219824	
external	ENGR30	ENGR	833.0	0.052731531303412044	0	ME80	ME	935.0	0.05918845350382984	0	0.3277310924369748	
external	CS108	CS	943.0	0.059694878774450844	0	<END>	special	15797.0	1.0	0	0.32767762460233296	
external	CME102	CME	1447.0	0.09159967082357409	0	PHYSICS43	PHYSICS	3030.0	0.19180857124770526	0	0.32688320663441606	
internal	ME203	ME	1017.0	0.06437931252769513	0	ME80	ME	935.0	0.05918845350382984	0	0.32645034414945917	
external	CHEM33	CHEM	3118.0	0.1973792492245363	0	BIO41	BIO	1388.0	0.08786478445274419	0	0.32488774855676716	
external	PSYCH50	PSYCH	1034.0	0.06545546622776477	0	<END>	special	15797.0	1.0	0	0.3239845261121857	
internal	CS103	CS	3319.0	0.21010318414888904	0	CS161	CS	1990.0	0.12597328606697475	0	0.32178366978005424	
external	ENGLISH90	ENGLISH	1068.0	0.06760777362790403	0	<END>	special	15797.0	1.0	0	0.3192883895131086	
internal	PHYSICS42	PHYSICS	1162.0	0.07355827055770083	0	PHYSICS45	PHYSICS	1794.0	0.11356586693676014	0	0.31841652323580033	
internal	CHEM35	CHEM	2092.0	0.13243020826739255	0	CHEM130	CHEM	1268.0	0.08026840539342914	0	0.3178776290630975	
internal	ECON102B	ECON	1039.0	0.06577198202190289	0	ECON52	ECON	851.0	0.0538709881623093	0	0.31665062560153995	
external	PSYCH45	PSYCH	891.0	0.05640311451541432	0	<END>	special	15797.0	1.0	0	0.3164983164983165	
internal	MATH41	MATH	876.0	0.05545356713299994	0	MATH51	MATH	5086.0	0.3219598657973033	0	0.3139269406392694	
external	ENGR30	ENGR	833.0	0.052731531303412044	0	ME203	ME	1017.0	0.06437931252769513	0	0.3133253301320528	
external	PHYSICS24	PHYSICS	955.0	0.060454516680382354	0	<END>	special	15797.0	1.0	0	0.31308900523560207	
external	CHEM31X	CHEM	1251.0	0.0791922516933595	0	BIO41	BIO	1388.0	0.08786478445274419	0	0.31254996003197444	
external	CS147	CS	870.0	0.05507374818003418	0	<END>	special	15797.0	1.0	0	0.30919540229885056	
external	DANCE46	DANCE	1522.0	0.09634740773564601	0	<END>	special	15797.0	1.0	0	0.30749014454664914	
external	MATH41	MATH	876.0	0.05545356713299994	0	CS106A	CS	7270.0	0.4602139646768374	0	0.3059360730593607	
internal	ME80	ME	935.0	0.05918845350382984	0	ME203	ME	1017.0	0.06437931252769513	0	0.3048128342245989	
internal	CHEM131	CHEM	1442.0	0.09128315502943597	0	CHEM135	CHEM	981.0	0.06210039880990061	0	0.3044382801664355	
external	CHEM36	CHEM	969.0	0.06134076090396911	0	BIO44X	BIO	1064.0	0.06735456099259353	0	0.30340557275541796	
external	MED160	MED	805.0	0.05095904285623853	0	<END>	special	15797.0	1.0	0	0.3031055900621118	
external	CS142	CS	1238.0	0.07836931062860036	0	<END>	special	15797.0	1.0	0	0.30129240710823907	
external	ENGR30	ENGR	833.0	0.052731531303412044	0	ME103D	ME	960.0	0.06077103247452048	0	0.30012004801920766	
internal	CS108	CS	943.0	0.059694878774450844	0	CS161	CS	1990.0	0.12597328606697475	0	0.2990455991516437	
internal	CS1C	CS	1700.0	0.10761537000696335	0	CS106A	CS	7270.0	0.4602139646768374	0	0.2964705882352941	
external	PSYCH30	PSYCH	928.0	0.058745331392036464	0	<END>	special	15797.0	1.0	0	0.2963362068965517	
internal	ECON1B	ECON	893.0	0.05652972083306957	0	ECON102A	ECON	1589.0	0.10058871937709692	0	0.2933930571108623	
external	CHEM36	CHEM	969.0	0.06134076090396911	0	BIO42	BIO	1196.0	0.0757105779578401	0	0.2930856553147575	
